id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11
tipoffstarchpartly,2021-03-13,0,0,32,0,230,0,0,80,8528.983189199087,346.0,9524,29,17.0,1.5,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,,4.2,,,5.0,1.0,,4.6,,,
tipoffstarchpartly,2021-03-14,7,0,39,0,304,0,0,181,7016.944292172987,383.0,8736,33,27.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.75,,,,1.0,,,,,,
tipoffstarchpartly,2021-03-15,0,0,19,0,144,0,0,54,8257.11398405333,562.0,9922,28,22.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,4.2,,2.0,1.0,,1.0,,,,1.0
tipoffstarchpartly,2021-03-16,0,0,30,0,136,0,0,80,6054.522232042274,504.0,8749,25,24.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,1.0,,1.6
tipoffstarchpartly,2021-03-17,40,0,51,0,190,4,0,84,9614.177586290569,498.0,8519,36,19.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,,4.0,1.0,,,1.0,,2.5,1.75,,4.0
tipoffstarchpartly,2021-03-18,0,0,20,0,216,0,0,85,7523.329488900372,488.0,10183,21,60.0,,,,,,,,,,1.0,4.0,,1.75,4.75,,,4.0,,,4.0
tipoffstarchpartly,2021-03-19,36,0,89,0,196,16,0,191,11226.84876260962,420.0,42759,50,22.0,1.1428571428571428,2.7857142857142856,2.0714285714285716,2.4285714285714284,3.4285714285714284,1.5,1.2142857142857142,1.4285714285714286,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-03-20,0,0,20,0,125,0,0,72,5461.6769104619,562.0,8433,31,37.0,1.1538461538461537,2.923076923076923,1.6153846153846154,2.3846153846153846,3.4615384615384617,1.5384615384615385,1.3846153846153846,1.3076923076923077,1.1538461538461537,,,,,,,,,,,
tipoffstarchpartly,2021-03-21,23,0,86,0,217,2,0,264,11911.86483996575,388.0,13927,50,50.0,1.125,2.75,1.375,2.625,3.375,1.25,1.375,1.375,1.125,,,,,,,,,,,
tipoffstarchpartly,2021-03-22,197,0,55,0,170,17,0,255,10673.971509656058,448.0,9941,71,22.0,1.0,3.3636363636363638,1.1818181818181819,2.727272727272727,3.272727272727273,1.2727272727272727,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,,,,,,,,,
tipoffstarchpartly,2021-03-23,88,0,186,0,185,8,0,259,16406.35992368254,234.0,10428,79,15.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,,4.142857142857143,,,,1.0,,,,,1.0
tipoffstarchpartly,2021-03-24,69,0,194,0,150,8,0,225,18431.106050959545,298.0,8367,52,28.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,,4.0,,,,1.0,1.0,,,1.5,
tipoffstarchpartly,2021-03-25,291,0,24,0,75,11,0,87,8355.863054734262,443.0,6628,30,28.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,
tipoffstarchpartly,2021-03-26,0,0,16,0,137,0,0,65,5041.621408188184,576.0,6655,20,13.0,,,,,,,,,,,3.6,,,1.0,,,,1.0,1.0,1.0
tipoffstarchpartly,2021-03-27,25,0,47,0,226,3,0,161,9391.50945615188,493.0,11398,65,28.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,1.0,
tipoffstarchpartly,2021-03-28,5,0,36,0,198,0,0,90,8447.301909926464,445.0,6764,36,68.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,,5.0,,,,1.0,,,1.0,1.0,
tipoffstarchpartly,2021-03-29,0,0,14,0,100,0,0,71,7690.6737224906865,527.0,5468,17,14.0,1.0,2.5,1.5,3.0,3.0,2.0,2.0,1.5,1.5,1.6,,1.0,,,1.0,,,1.0,1.0,
tipoffstarchpartly,2021-03-30,0,0,17,0,211,0,0,69,8199.71079509105,322.0,10110,33,19.0,,,,,,,,,,1.0,4.333333333333333,1.0,,,,1.75,,,1.5,1.75
tipoffstarchpartly,2021-03-31,8,0,35,0,212,0,0,73,9421.568365514806,475.0,12415,48,26.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,,4.2,,3.0,,,,,1.0,,3.25
tipoffstarchpartly,2021-04-01,51,0,71,0,165,11,0,183,10753.54011826328,335.0,9616,75,21.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,1.75,,,1.0,,
tipoffstarchpartly,2021-04-02,22,0,30,0,238,3,0,139,10981.564390546897,429.0,8126,41,26.0,1.0,3.0714285714285716,1.6428571428571428,2.7142857142857144,3.4285714285714284,1.2142857142857142,1.1428571428571428,1.1428571428571428,1.0714285714285714,,,,,,1.0,,,,,
tipoffstarchpartly,2021-04-03,5,0,35,0,213,1,0,167,10946.373578479575,450.0,11430,51,27.0,1.2307692307692308,2.769230769230769,1.6923076923076923,2.5384615384615383,3.3076923076923075,1.2307692307692308,1.3076923076923077,1.0769230769230769,1.2307692307692308,,,,,,,,,,,
tipoffstarchpartly,2021-04-04,54,0,39,0,275,3,0,105,9174.942362744638,569.0,10269,62,15.0,1.125,2.75,1.75,2.0,3.25,1.5,1.625,1.5,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-04-05,13,0,41,0,223,0,0,125,7556.542439776129,462.0,6500,46,17.0,1.0714285714285714,2.5714285714285716,1.8571428571428572,2.2857142857142856,3.0,1.6428571428571428,1.3571428571428572,1.7857142857142858,1.2857142857142858,,,,,,,,,,,
tipoffstarchpartly,2021-04-06,6,0,23,0,248,0,0,92,8760.29805267077,213.0,6838,35,25.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,,3.25,1.0,1.6,,,1.0,,,1.4285714285714286,
tipoffstarchpartly,2021-04-07,74,0,59,0,134,2,0,105,11399.961438467515,392.0,10701,38,18.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,4.75,,,3.6,,,
tipoffstarchpartly,2021-04-08,0,0,2,0,44,0,0,15,8095.481591051845,481.0,5008,23,9.0,,,,,,,,,,,4.375,,,,1.0,1.8571428571428572,3.25,,,
tipoffstarchpartly,2021-04-09,0,0,3,0,77,0,0,29,6386.873905941122,519.0,7458,14,32.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,,,2.5,1.0,,,,1.0,2.5
tipoffstarchpartly,2021-04-10,0,0,13,0,140,0,0,89,8554.446339322354,507.0,8440,27,27.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,4.75,1.0,,4.0,1.0,1.0,1.6
tipoffstarchpartly,2021-04-11,35,1,98,0,193,5,0,123,10615.71732497515,353.0,7298,39,26.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,,,,,,2.2857142857142856,5.0,,1.0,1.0
tipoffstarchpartly,2021-04-12,18,0,23,0,133,2,0,84,9883.293611880354,310.0,5717,28,24.0,1.0,3.5,2.0,3.5,3.5,2.0,1.5,2.5,1.0,,,,,,1.0,4.0,3.6666666666666665,1.0,,1.0
tipoffstarchpartly,2021-04-13,0,0,27,0,128,0,0,83,8028.019023512996,379.0,21796,25,41.0,,,,,,,,,,,4.25,,,,,3.25,,1.5,1.5,
tipoffstarchpartly,2021-04-14,0,0,11,0,138,0,0,44,6859.836058793288,452.0,5085,24,17.0,2.0,2.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,1.6,,1.0,3.25,1.0,,4.0,,1.0,1.0,
tipoffstarchpartly,2021-04-15,16,0,42,0,246,4,0,149,8203.0488393,503.0,9264,38,36.0,,,,,,,,,,,,1.0,,,,,4.0,1.0,1.0,
tipoffstarchpartly,2021-04-16,37,0,96,0,114,4,0,115,11216.51564205646,286.0,10672,57,12.0,2.5,3.5,2.5,3.0,3.5,2.5,1.0,2.0,1.0,1.0,,1.0,,4.5,1.0,1.0,5.0,,1.0,
tipoffstarchpartly,2021-04-17,32,0,14,0,260,7,0,109,7795.143883211047,489.0,9501,49,19.0,1.0,3.0,1.75,2.75,3.6666666666666665,1.3333333333333333,1.0,1.1666666666666667,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-04-18,46,0,62,0,256,6,0,222,10216.03874543616,450.0,12445,81,33.0,1.0833333333333333,3.0,2.25,2.3333333333333335,3.6666666666666665,1.0,1.0,1.0,1.0833333333333333,,,,,,,,,,,
tipoffstarchpartly,2021-04-19,0,0,14,0,215,0,0,66,5562.021625170476,418.0,5480,31,13.0,1.2142857142857142,2.5714285714285716,1.7142857142857142,2.357142857142857,3.4285714285714284,1.3571428571428572,1.0,1.0,1.4285714285714286,,,,,,,,,,,
tipoffstarchpartly,2021-04-20,0,0,5,0,125,0,0,50,5438.672474244886,622.0,4757,33,22.0,1.0,2.6923076923076925,1.4615384615384615,2.5384615384615383,3.3076923076923075,1.5384615384615385,1.0769230769230769,1.1538461538461537,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-04-21,20,0,17,0,156,6,0,85,7477.80901813842,392.0,8556,40,19.0,1.0,3.0,2.0,3.0,3.0,2.5,1.5,1.5,1.5,,,1.0,,,,,,,,
tipoffstarchpartly,2021-04-22,46,0,51,0,210,5,0,159,9199.902897857735,292.0,14842,59,24.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,,,1.0,3.5,,,1.0
tipoffstarchpartly,2021-04-23,0,0,30,0,236,0,0,168,7007.522419202773,288.0,21169,39,10.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,
tipoffstarchpartly,2021-04-24,0,0,32,0,124,0,0,108,7195.736936051357,485.0,13909,37,39.0,,,,,,,,,,,4.5,,2.5,,,,5.0,,2.0,2.5
tipoffstarchpartly,2021-04-25,0,0,26,0,161,0,0,85,9209.806766640086,384.0,10822,34,24.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,,3.0,,,1.0,,,,,1.0,1.0
