subject_id,watch_data_completeness,watch_total_minutes,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,data_quality_score
certifiedembargobartender@timestudy_com,0.0,0,19.380608448238128,80.35482475118995,20693,340.0,1601008,29.920629959828425
cesareanplaysetguise@timestudy_com,0.0,0,20.14817863757975,72.82696339300114,11060,201.0,1188646,27.892542609174264
chewingslouchingfailing@timestudy_com,0.0,0,20.667708798570793,94.32093163944344,22180,370.0,316981,34.49659213140427
childhoodmovingmagnify@timestudy_com,0.0,0,23.870967741935484,90.1588163431519,23879,368.0,2291691,34.20893522552621
chloridenativitydesigning@timestudy_com,0.0,0,3.6384309266628763,0.0,1759,23.0,78535,1.0915292779988628
cidergoofyclunky@timestudy_com,0.0,0,8.440768669423498,35.8864188305623,9464,133.0,662376,13.298156249995738
civicexcludingbarcode@timestudy_com,0.0,0,16.20253164556962,76.50933040614709,2096,46.0,142834,27.813558615515014
cladlandscapeheave@timestudy_com,0.0,0,17.2,67.41854636591479,1399,40.0,101764,25.385563909774437
clubbingmudstarboard@timestudy_com,0.0,0,19.813084112149532,0.0,1605,67.0,395696,5.943925233644859
cohesiveprotractfavored@timestudy_com,0.0,0,21.103327495621716,86.93533792719427,23503,373.0,409207,32.4115996268448
collisionmolarbreeze@timestudy_com,0.0,0,16.998111320964338,87.36854976766935,17179,366.0,1292608,31.309998326590105
colonialdemystifyduress@timestudy_com,0.0,0,7.174887892376682,0.0,223,6.0,14755,2.1524663677130045
commaquickstepankle@timestudy_com,0.0,0,11.531331108639229,66.79117147707979,5642,112.0,396619,23.496750775715704
compactorgiftgaming@timestudy_com,0.0,0,9.67741935483871,0.0,93,5.0,10008,2.903225806451613
condonebuffalofinancial@timestudy_com,0.0,0,3.6585365853658534,0.0,246,3.0,2526,1.097560975609756
confrontcaresssullen@timestudy_com,0.0,0,21.237942122186496,78.43286420692279,14107,17.0,73966,29.901241898732785
congestedculpritsaved@timestudy_com,0.0,0,21.638907395069953,97.1949258531356,18699,345.0,125842,35.65014997446167
congestedtapssneer@timestudy_com,0.0,0,13.153366315336632,89.20182019431803,26727,357.0,1699359,30.706555952896398
congresscyclistdefender@timestudy_com,0.0,0,20.539552880481512,80.22325581395349,20054,354.0,1285008,30.2288426083305
copybrickcreative@timestudy_com,0.0,0,15.829486831387458,93.2816214187414,19042,368.0,880690,32.73333247503865
coynessculminatebarista@timestudy_com,0.0,0,18.86520097712636,64.62165750047411,19552,362.0,1683902,25.046057543280142
craftworkattendeeensnare@timestudy_com,0.0,0,11.956309732787206,66.16707422891851,22931,422.0,1264255,23.437015188511715
crestedserpentspongy@timestudy_com,0.0,0,23.72170071783545,88.3239329909925,20934,369.0,1795550,33.613690112648385
crestlesssyntheticerrand@timestudy_com,0.0,0,18.783244680851062,85.96203421607686,7275,122.0,201611,31.423583669078376
crewmanfacingundusted@timestudy_com,0.0,0,3.571428571428571,0.0,28,2.0,4934,1.0714285714285714
crierscrawnybackless@timestudy_com,0.0,0,9.99757927862503,71.16834170854271,5723,157.0,829393,24.34977629615032
crunchingspookilybackstab@timestudy_com,0.0,0,14.305750350631136,79.80935875216637,5160,93.0,399243,28.234532730839252
crystaloverdueunfasten@timestudy_com,0.0,0,24.832214765100673,0.0,298,3.0,2758,7.449664429530202
curdleupsidejazz@timestudy_com,0.0,0,21.994134897360702,0.0,341,15.0,27416,6.598240469208211
debatableuneasyeveryone@timestudy_com,0.0,0,17.76196928635953,76.2056414922657,19846,370.0,1097282,28.190283233587568
decodelarkundamaged@timestudy_com,0.0,0,18.994413407821227,72.5435148792813,3571,65.0,241547,27.461378486130755
defilinganywayimmovable@timestudy_com,0.0,0,12.987588652482268,71.46206045650833,19385,379.0,916103,25.334894732697176
deitymagnifierdrove@timestudy_com,0.0,0,20.13498312710911,93.13491506387757,15124,327.0,1267525,33.980969457296005
diagramuncoupleoutput@timestudy_com,0.0,0,23.155634158665993,95.36470176666083,19350,328.0,1430079,35.55610077759805
dimmeddismaylegume@timestudy_com,0.0,0,14.641434262948207,79.2810142834216,12255,187.0,806004,28.17673456391094
dimnesscranialunheard@timestudy_com,0.0,0,23.087573554863276,71.78068410462777,22583,367.0,1416110,28.460477297847312
disparitypolkarepair@timestudy_com,0.0,0,18.626402993051844,0.0,3742,0.0,0,5.587920897915553
dissuadecelestialrelic@timestudy_com,0.0,0,22.194748616507713,94.38122960218753,19830,296.0,490893,34.97279346560857
distresslitigatemassager@timestudy_com,0.0,0,23.697639804380184,74.53457943925234,22781,367.0,616175,29.469665773089755
dizzinesscatatoniceconomist@timestudy_com,0.0,0,7.064821558630735,63.15586419753087,5338,74.0,41428,21.06620572684848
doorpostthesisjubilance@timestudy_com,0.0,0,20.07586400674347,80.47486284737836,18237,341.0,1627392,30.165218056236547
earflapmaraudingappointee@timestudy_com,0.0,0,6.599677459372286,59.91858462501957,22509,374.0,1308040,19.955478625317557
earphonebullseyeelusive@timestudy_com,0.0,0,15.494636471990464,0.0,839,35.0,124081,4.648390941597139
edgeclerkdirectly@timestudy_com,0.0,0,6.8148776350860185,69.81208598080303,23905,331.0,1458854,22.988089084766713
electableribcagebarrier@timestudy_com,0.0,0,16.99009083402147,85.27090060997489,10418,194.0,413179,30.678297433198907
employeeduvetunkempt@timestudy_com,0.0,0,11.814345991561181,0.0,237,5.0,1211,3.5443037974683542
endlessroamerreconfirm@timestudy_com,0.0,0,7.47149297268629,60.74656649841531,23603,377.0,878824,20.46541784133048
engravertradethus@timestudy_com,0.0,0,19.446320054017555,88.37246703119975,10661,161.0,834705,32.34563612556519
enjoyergoofinessgrudge@timestudy_com,0.0,0,18.52347709668165,88.2960413080895,20915,363.0,955292,32.04585552143134
enjoyingretreathandled@timestudy_com,0.0,0,14.082928651475532,54.539007092198574,5497,98.0,250287,20.58658072310223
envyseniornibble@timestudy_com,0.0,0,17.62376237623762,0.0,505,18.0,90029,5.2871287128712865
equallustinessuntil@timestudy_com,0.0,0,18.100984439504604,79.06156288587053,20785,364.0,1267102,29.148764197612536
erasuresafeguardravishing@timestudy_com,0.0,0,11.443760492445438,69.8900605788647,15179,367.0,1154412,24.400146321393045
espionagechihuahuagraffiti@timestudy_com,0.0,0,19.67668863261944,73.33879482978335,20698,249.0,930076,27.904645038720837
euphemismfederalconfusing@timestudy_com,0.0,0,15.75942139322421,60.44806517311609,10164,209.0,921178,22.86224596990209
evasiongalorebath@timestudy_com,0.0,0,2.1169434170142445,77.40852041718225,62142,340.0,787693,23.857639150258944
everybodylilacfifty@timestudy_com,0.0,0,38.095238095238095,0.0,147,6.0,5326,11.428571428571429
exaltedoblivionwilled@timestudy_com,0.0,0,20.085698982324583,89.01699029126213,3515,0.0,0,32.730806782076016
excusableutopiadedicator@timestudy_com,0.0,0,100.0,0.0,1,1.0,93,30.0
exploreparadoxmangle@timestudy_com,0.0,0,22.111663902708678,90.92134074448374,20919,366.0,1353882,33.90990139415773
facelesschimpacclaim@timestudy_com,0.0,0,18.876331232340796,72.77379733879222,10179,348.0,764743,27.495038571339904
fantasycataractconical@timestudy_com,0.0,0,11.413390010626992,74.23043095866315,9253,187.0,669955,25.69314629078704
faucetsquealingcatapult@timestudy_com,0.0,0,21.464393179538614,89.60750853242321,20693,366.0,1708285,33.32157051358855
federalblahsavage@timestudy_com,0.0,0,6.322350845948353,0.0,1123,46.0,190872,1.896705253784506
