,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11,stress_normalized,watch_stress_normalized
Q1_SAD,-0.12591855015037579,-0.05511403184838259,0.37447443430484684,,-0.13969411264642992,0.10330606590412045,,0.1798884342268924,0.4802873902794998,0.09078143265527977,-0.06559038883552903,-0.19896730183693034,0.44680400294032,1.0,-0.41518345977394405,0.5556258034623839,-0.4853417098820891,-0.44640896041886813,0.7477959214689568,0.8847888531057573,0.6925082225987218,0.5641076976721489,-0.04848371276256475,0.02335722235115611,0.8736047414251012,0.04897705359339723,0.10218615880220404,0.7800306588485888,0.6774639300788796,-0.22571902633316776,0.9405309382475047,0.9033245744502442,0.9400639879174321,-0.341656369824517,-0.5864832765735563
Q2_HAPP,-0.24794665910294533,-0.5464381992873343,-0.49292966833714763,,-0.42411426892681015,0.15710446375988307,,-0.4794548454771159,-0.47967568662619253,0.6279445190082351,0.5804478524905551,0.48848945972322566,-0.049620331672655595,-0.41518345977394405,1.0,-0.4975672644188183,0.9615627279094947,0.8819071043367073,-0.46479653496224604,-0.2542032010109831,-0.3953014658967088,-0.13654488233754508,0.7625135894825724,0.6984413812023137,-0.3258953588119071,0.8093971836289888,0.18962377381636147,-0.15782218507825344,-0.4263277271286137,0.8053127914541991,-0.23800810620287732,-0.31673368519991435,-0.47534748064633864,-0.1904874482638812,0.1480353549181381
Q3_FATIG,-0.23889795680786374,-0.12043668716281651,-0.0863470748385784,,0.10947535054891462,-0.11870555260611447,,-0.007213946632780973,0.11724525046520468,-0.22192377783264103,-0.20378496329243329,-0.19958622251086774,-0.07736053654785809,0.5556258034623839,-0.4975672644188183,1.0,-0.5315900979737701,-0.6366889792166572,0.6701420356897362,0.6108286224404962,0.5765977775439972,0.3453140990201623,0.024998037285690444,0.006428447653597661,0.5004865937443446,0.0017383614978657641,-0.06604942119325406,0.4398978607999029,0.31245343369567014,-0.08588679902298282,0.40114832658319993,0.5026549325106973,0.5570811909108402,0.08102092651055094,-0.28899527053780655
Q4_EN,-0.16294530078335315,-0.3905295500380852,-0.41630478183956493,,-0.2965005443546071,0.29749799489002215,,-0.4614951841193297,-0.36026362706329623,0.5328516954149867,0.5926224022358867,0.5158739320985136,-0.07955006333967896,-0.4853417098820891,0.9615627279094947,-0.5315900979737701,1.0,0.8813989070450228,-0.4731913900073757,-0.3065864392999544,-0.28266068425654917,-0.0697982532001659,0.648582947177293,0.5754811327228807,-0.3582582027517663,0.6916874332249547,0.10824408732473188,-0.15395246596138312,-0.3386761486367575,0.7177166766782943,-0.31152052831895866,-0.4060210332669071,-0.5627997726429094,-0.07845982809660113,0.30607777283298215
Q5_REL,-0.2832519921827797,-0.3931245504500137,-0.12026723814124514,,-0.23595469727629068,0.19545206518042926,,-0.10978509394169689,-0.20502349741109435,0.6939810651355021,0.43870686286892163,0.65807173521358,0.04026383559351623,-0.44640896041886813,0.8819071043367073,-0.6366889792166572,0.8813989070450228,1.0,-0.40325722770999617,-0.4484532373026064,-0.3628583408980851,-0.15061078546028628,0.48873336978276255,0.44407070171725904,-0.4592511864891162,0.5598934878406053,0.1617000922740776,-0.27221167364849586,-0.3081364976171758,0.7325034475698247,-0.2718876158265818,-0.49946399528863267,-0.46451182077802405,-0.13084681974022097,0.3340438093164823
Q6_TEN,0.06398589694804181,-0.13586573747397165,0.46481821858800015,,0.30434627288357535,-0.20768748606573936,,0.5419289212957469,0.41031238870105147,0.06373687155612291,-0.30889012544212857,-0.04012853816202166,0.1825981655124379,0.7477959214689568,-0.46479653496224604,0.6701420356897362,-0.4731913900073757,-0.40325722770999617,1.0,0.6976628109599093,0.7144359384601118,0.5387143818160254,-0.30078670361449045,-0.26213759980259604,0.4746401678703755,-0.15091376195270706,-0.38654299911521006,0.5254305311768305,0.3961832067826465,-0.2802216250595524,0.5258351085605527,0.546258778854601,0.8754991555518259,0.14369296875321086,-0.29094398939255206
Q7_STRESS,0.031196007641352847,-0.14889088978522458,0.11053171097293997,,-0.12409813531670802,0.14095590550547596,,-0.10047889931062987,0.3506669902213171,-0.03622157225785501,-0.10951383078960526,-0.1774117151141143,0.1912702418446816,0.8847888531057573,-0.2542032010109831,0.6108286224404962,-0.3065864392999544,-0.4484532373026064,0.6976628109599093,1.0,0.7405148606070043,0.6027145225213744,0.10752767850827676,0.1686166153193317,0.8755170867579951,0.24080130724964063,0.09927220190185265,0.8189556807099281,0.5276360637482661,-0.13961903484387325,0.8122369608267499,0.9208424800833157,0.8160319710248036,-0.15685151835170566,-0.6157879210260696
Q8_FRUST,0.07389721858024276,0.19186891033030593,0.45039820732143615,,0.22720259496668646,0.4344065939411617,,0.13311160256607632,0.7232598824592269,-0.2187262326567105,-0.18991332988502907,-0.004156299928970759,0.14320867178542152,0.6925082225987218,-0.3953014658967088,0.5765977775439972,-0.28266068425654917,-0.3628583408980851,0.7144359384601118,0.7405148606070043,1.0,0.7739343221161685,-0.21245962351589606,-0.12784110942511429,0.6901674799786114,-0.07978588068026378,0.017529010369285773,0.7799501433043708,0.8011731066796709,-0.21779494130307583,0.6353318609128561,0.605547735858203,0.6053337305889416,0.17608135906547268,-0.08615691225783315
Q9_NERV,0.31222090664066215,0.07907814734765932,0.3830034382314805,,0.1254770835338461,0.3036713914977748,,0.08852247872377011,0.4241234234888357,-0.20897171176720106,-0.008601362739316346,-0.1902800905862775,0.4408832761331391,0.5641076976721489,-0.13654488233754508,0.3453140990201623,-0.0697982532001659,-0.15061078546028628,0.5387143818160254,0.6027145225213744,0.7739343221161685,1.0,-0.02291311302164709,0.2410100851605468,0.4398772798478018,0.11645742336549476,-0.018727548047981872,0.9045056821739254,0.7388797100828091,-0.055970531398521116,0.5964470388329283,0.6070762354570025,0.4865622855793855,0.3445993092796768,0.22645944917405336
excite_14,-0.5213145376354568,-0.5282345228053357,-0.7484932237436791,,-0.5352530293669551,0.23107815832146722,,-0.7475326680090651,-0.48442694588974283,0.5203528368368583,0.5925334699556908,0.32974396225804053,0.10696561547628322,-0.04848371276256475,0.7625135894825724,0.024998037285690444,0.648582947177293,0.48873336978276255,-0.30078670361449045,0.10752767850827676,-0.21245962351589606,-0.02291311302164709,1.0,0.9197236196662895,0.06058706738593997,0.929319474332341,0.378582151555812,0.12429502014562906,-0.216410672949673,0.7968198324183795,0.11967036271245957,0.07684427441471005,-0.2084552998187845,-0.4075471208813234,-0.14765477717091438
